,z1,z2,z3,z4,z5,z6,z7,z8
CAN,-0.07545027408107984,0.016712207710288775,-0.021306263176495217,0.030320129160197884,-0.029767852049051104,-0.04763888648555459,-0.019337766492551853,-0.0011609083499069758
CHE,-0.05080422833859094,0.06262107892661833,0.02696222748418498,-0.06566599220942419,0.0022766078798961004,0.07399611332629355,0.0013314882640491556,-0.015480673426288283
CHI,0.029520007214029795,0.01857629094134852,-0.04172085408806194,-0.05888330321461363,-0.018000302621676855,0.07231733857082989,0.005190828616575446,-0.014533792383765084
CHL,0.04056291317148675,0.017848269562316745,0.008034646301371783,0.010979726435140134,0.012198684903488542,0.012372648581799636,0.006251820532293569,0.007976778445086178
CHN,0.05090906988329592,0.013148920510464651,0.011889756968637406,0.009482672996107278,0.017574210109971924,0.005117337644757787,0.007810566911498811,0.005432314662322827
CMR,0.04573263478395594,0.015074347534368513,0.010604527688035074,0.003532085198077745,0.009693872759452842,0.014823416522113626,0.004526193249665101,0.004231787816167
COD,0.053367167603550356,0.011937068528859389,0.011028470375486186,0.009371205040138456,0.018484717218677154,0.006008241951008701,0.007423512305888696,0.00571328194056495
COG,0.048436483127396804,0.015537435426963479,0.01500543430124478,0.010401113148174617,0.02410673505628799,0.008268619756861217,0.0009566871059578107,0.006537570603288631
COL,0.029054427171114762,0.019402581551780707,0.01914905655937671,0.010741723415566293,0.0018404317117626042,0.013832026260337249,0.0001907779351650227,0.005595503737282108
COM,0.053230295904786895,0.010727168490386824,0.015345840052907516,0.015842738252438975,0.015110152450475858,0.001108686636284804,0.0069731983912294584,0.007479517816788657
CPV,0.04763604190649351,0.015980498920224025,-0.00019476597088190887,-0.009958948450467674,0.010370533851047952,0.02543935115895706,0.00929404443031146,0.0003103183401147726
CRI,-0.012079012177376204,0.013278463775527568,0.028604315376921343,0.025742714471436428,-0.018942218721556305,-0.046049448182633394,0.020016251204419182,-0.010961695799318322
CUW,0.0582266043316048,-0.0057771754191359,0.0010228694114242278,0.026978808510040097,0.018235378190469626,-0.012722180843118783,-0.006438240842249599,0.009489747752729236
CYM,0.008082779456406081,-0.14082135823218817,0.11698412280470726,-0.15490439770688816,0.03288511705595142,-0.02658211663383068,0.5009621895137532,-0.2265932325182088
CYP,-0.04254076796488489,-0.017817525492439163,-0.00897688609707879,-0.10744430656537565,0.02137117944412458,0.03805622701468352,0.03579146623929446,-0.07532930902090369
