,u1,u2,u3,u4,u5,u6,u7,u8
CHI,3.7184946819456776e-17,6.448469875148156e-17,1.2470312215870426e-17,6.285822897762104e-17,-3.393162356133874e-17,-3.4243604175469264e-17,-3.062031572313725e-17,3.1116928544457335e-17
CHL,0.007931129496819353,0.013661492214013485,0.029073271746144356,0.05269484862916469,0.057185473397425884,-0.13248471823097474,0.11748352932130132,0.0050666900539855925
CHN,0.047972521339582866,0.04704160716001235,0.0152301834863138,0.003219957457671195,0.030608255895975506,-0.023799401583878464,0.05272563101704795,-0.05459990567727608
CMR,0.09757073899013226,-0.0066840016947501985,0.012839087001265893,0.03298175360068827,0.0011696636817421057,0.02355285588936262,-0.026988731991408516,0.06711191880433061
COD,0.05679365498269614,-0.03313784127726932,-0.05999690179927019,0.044539507720431505,0.09540983250175493,-0.007131899939688365,0.049126803392337645,-0.002468155342051459
COG,0.06423747288356121,-0.009393645712377495,0.019816768177359594,0.024607416642584066,0.05587543084902613,-0.02164892207259066,-0.017586865585673312,0.05881690276562297
COL,0.02911368498046459,-0.03141970458021433,0.011119316002302504,-0.012318675101037865,0.035277001610958654,-0.1014200731221146,0.10001178614350983,-0.011554853501624494
COM,0.07793853092907302,0.04205211302749372,0.04705477068369124,-0.05743081537890383,0.05058721697109351,0.008605712762540078,0.08011064578617484,-0.020077539730934554
CPV,0.03968473514883469,0.0045142438010450205,0.0172035239107703,-0.023286099164783813,-0.05394586586612685,0.0032253530023204583,0.06848772357964393,0.017968272021164407
CRI,0.08509839054072654,0.0545474470818794,0.01440434985964835,0.037315588631379,-0.03804752179580931,-0.09237798018113696,-0.07650788838912535,-0.1486613207675345
CUW,-0.019585588808973972,0.034378499877002755,-0.11967765598547753,-0.07410872960700847,0.043727258365572674,0.03067041392399004,-0.09087571375842049,0.007075951345223683
CYM,-0.0690271480897557,-0.07015777633624057,0.06471422113215625,-0.212167625602122,0.12252343661998383,-0.05439220444571532,-0.010171912464527078,0.02255324880325084
CYP,-0.09195811277978984,-0.009344009631614095,0.0443082621882399,-0.09159846891129392,-0.07057688047761079,0.10908064347632077,0.06296473980811142,-0.11620129431151054
CZE,-0.06282419721427297,-0.02281366122474551,0.032103475942783136,-0.006650105071930992,-0.007197331355563046,0.009397979698648164,-0.07086022790325534,0.028816147543566564
DEU,-0.03205756293085385,0.11347544662989359,0.053140804581689516,-0.09532668299077751,-0.04990529543226747,0.030405136570873865,-0.05665689145786313,-0.05122272248157763
